n, Insert, Merge
2,0.183828,0.293468
3,0.015719,0.031491
4,0.010459,0.052917
5,0.04243,0.019235
6,0.020425,0.027839
7,0.010784,0.020262
8,0.011084,0.015918
9,0.01335301,0.02197
10,0.012786,0.022159
11,0.011415,0.023857
12,0.01373599,0.02515
13,0.017236,0.027222
14,0.01610599,0.02829099
15,0.02853899,0.029657
16,0.02365,0.03791501
17,0.027411,0.039872
18,0.025081,0.03957
19,0.025832,0.043063
20,0.026749,0.045597
21,0.030614,0.048159
22,0.035167,0.048411
23,0.030063,0.051324
24,0.038198,0.06008
25,0.033233,0.064115
26,0.044491,0.057547
27,0.041104,0.059466
28,0.042676,0.06145401
29,0.046764,0.079736
30,0.04956499,0.073602
31,0.05797099,0.06793
32,0.062756,0.070749
33,0.055154,0.082522
34,0.083212,0.128614
35,0.05896199,0.08623499
36,0.071923,0.087834
37,0.068299,0.09125701
38,0.083213,0.092642
39,0.075908,0.095301
40,0.075726,0.105126
41,0.098235,0.101732
42,0.091171,0.102228
43,0.101686,0.10536899
44,0.09805901,0.107007
45,0.102942,0.118951
46,0.119128,0.130616
47,0.111594,0.104167
48,1.379221,0.17193799
49,0.206673,2.0192
50,0.193825,0.174028
51,0.232398,0.178078
52,0.200716,0.186665
53,0.007569,0.118848
54,0.007281,0.119558
55,0.007253,0.12378401
56,0.00690901,0.118626
57,0.007029,0.121935
58,0.006882,0.123458
59,0.007243,0.148114
60,0.00828,0.127607
61,0.010929,0.134413
62,0.008187,0.132703
63,0.007229,0.136926
64,0.00782499,0.139385
65,0.007986,0.160588
66,0.008122,0.16642001
67,0.009175,0.164057
68,0.008355,0.163463
69,0.00838999,0.167253
70,0.008246,0.173489
71,0.00898001,0.17319801
72,0.009785,0.169444
73,0.009482,0.194208
74,0.010228,0.175007
75,0.012164,0.015908
76,0.010605,0.014419
77,0.009999,0.014337
78,0.012444,0.014925
79,0.01072101,0.014125
80,0.011122,0.014144
81,0.011191,0.014446
82,0.013198,0.019543
83,0.011087,0.018057
84,0.011071,0.014959
85,0.01176,0.018354
86,0.011463,0.017915
87,0.011522,0.018546
88,0.013008,0.018995
89,0.01242001,0.018334
90,0.068569,0.020205
91,0.01245201,0.016395
92,0.012543,0.01532
93,0.013179,0.018968
94,0.012436,0.01889899
95,0.013305,0.018749
96,0.014114,0.022656
97,0.01717699,0.015959
98,0.013404,0.020174
99,0.013943,0.017044
100,0.014671,0.019947
101,0.014588,0.02036899
102,0.015074,0.017319
103,0.01394299,0.020497
104,0.015445,0.017161
105,0.014155,0.020443
106,0.01804899,0.022179
107,0.015772,0.017353
108,0.015718,0.021922
109,0.016627,0.021334
110,0.015726,0.01796
111,0.016375,0.019043
112,0.017162,0.02166799
113,0.016424,0.021956
114,0.01650099,0.018901
115,0.016665,0.022301
116,0.01632001,0.022985
117,0.017977,0.019286
118,0.017479,0.022584
119,0.017325,0.026361
120,0.018076,0.023701
121,0.018789,0.020099
122,0.018412,0.02324799
123,0.01771399,0.023993
124,0.019931,0.030047
125,0.01926199,0.02038199
126,0.018581,0.020543
127,0.02038199,0.024512
128,0.019337,0.024592
129,0.02137601,0.02547099
130,0.018934,0.022755
131,0.019446,0.023638
132,0.020906,0.023897
133,0.021235,0.026069
134,0.021678,0.042943
135,0.022549,0.02713399
136,0.021997,0.029625
137,0.023135,0.02744801
138,0.022216,0.02398001
139,0.022445,0.023718
140,0.024864,0.02422301
141,0.031591,0.033912
142,0.023317,0.028946
143,0.024218,0.02812
144,0.023854,0.028817
145,0.023854,0.032834
146,0.024035,0.03121199
147,0.024124,0.028838
148,0.032431,0.03045499
149,0.025508,0.028806
150,0.026596,0.02917001
151,0.02682,0.028748
152,0.026677,1.037294
153,0.051479,0.027708
154,0.02530801,0.027561
155,0.027593,0.027537
156,0.028772,0.027029
157,0.02754501,0.028288
158,0.027366,0.02805001
159,0.027578,0.034815
160,0.028342,0.027516
161,0.028531,0.028507
162,0.029902,0.028336
163,0.029315,0.028131
164,0.028157,0.02901
165,0.03018799,0.02860299
166,0.029114,0.028777
167,0.02888399,0.029357
168,0.028542,0.029637
169,0.030819,0.029178
170,0.03044999,0.029761
171,0.028841,0.02974
172,0.030768,0.03041
173,0.031159,0.0299
174,0.030159,0.030325
175,0.031127,0.030181
176,0.034195,0.031436
177,0.035069,0.03048
178,0.034809,0.030634
179,0.03591,0.031365
180,0.031348,0.031955
181,0.035734,0.03199
182,0.036226,0.031378
183,0.036435,0.031488
184,0.035593,0.03186399
185,0.037803,0.031645
186,0.03715099,0.031522
187,0.03732,0.032791
188,0.035769,0.03226
189,0.03629,0.0332
190,0.039855,0.03284
191,0.039187,0.033268
192,0.037843,0.032853
193,0.041251,0.033369
194,0.037092,0.033492
195,0.039797,0.033535
196,0.03805099,0.033615
197,0.045676,0.041531
198,0.05586,0.046919
199,0.042613,0.034986
200,0.041962,0.034478
201,0.040778,0.035173
202,0.05765601,0.03528301
203,0.04357,0.035315
204,0.043066,0.03508
205,0.050028,0.035435
206,0.04364,0.036397
207,0.044285,0.036114
208,0.04345001,0.03578
209,0.042683,0.03651199
210,0.04357,0.03579
211,0.056327,0.036718
212,0.059479,0.044156
213,0.046546,0.037015
214,0.04469001,0.03733
215,0.04535101,0.037324
216,0.046762,0.037674
217,0.048502,0.036731
218,0.048817,0.037651
219,0.047793,0.03819799
220,0.048643,0.039048
221,0.04750501,0.03895999
222,0.046893,0.038107
223,0.048322,0.037875
224,0.046255,0.039195
225,0.051095,0.038977
226,0.048929,0.040801
227,0.0539,0.039385
228,0.048409,0.044573
229,0.05327,0.040673
230,0.054342,0.041162
231,0.065524,0.04105
232,0.049988,0.042325
233,0.055355,0.040652
234,0.051861,0.04333
235,0.05192801,0.041406
236,0.050028,0.042114
237,0.053184,0.04187901
238,0.055905,0.042764
239,0.057431,0.041825
240,0.054794,0.041633
241,0.05635899,0.04272901
242,0.056058,0.042654
243,0.06197301,0.042538
244,0.06955,0.045605
245,0.057803,0.042996
246,0.059522,0.043896
247,0.05961201,0.043015
248,0.060101,0.043592
249,0.059396,0.0434
250,0.063052,0.044434
251,0.062002,0.043448
252,0.061189,0.04383299
253,0.068114,0.04453
254,0.059652,0.044458
255,0.064958,0.046062
256,0.07566001,0.046481
257,0.060037,0.047988
258,0.063988,0.04829299
259,0.062258,0.048039
260,0.063279,0.048475
261,0.06197,0.048916
262,0.068475,0.049461
263,0.084418,0.048424
264,0.064471,0.049822
265,0.066626,0.049111
266,0.067614,0.048515
267,0.067547,0.050429
